,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
319,3/8/2019,5096,5096,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless & Solid Gold,Datejust,StoreInventory,2/14/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-diamonds-yellow-gold-stainless-steel-watch-/173793390647
320,3/8/2019,4050,4050,pre-owned,1601,Mechanical (Automatic),"White Gold, Stainless Steel",Leather,Rolex Datejust,StoreInventory,2/14/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-stainless-steel-gold-purple-face-watch-/173793391297
322,3/8/2019,4321,4321,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Leather,Rolex Oyster Perpetual,StoreInventory,2/6/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-date-34mm-stainless-steel-diamond-watch-/173781155443
323,3/8/2019,3000,3000,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Datejust,StoreInventory,2/6/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-steel-gold-diamond-yellow-face-watch-/173781588231
336,3/7/2019,5590,5569,pre-owned,Does Not Apply,Mechanical (Automatic),"18K White Gold, 1.00CT Diamond Bezel",18K White Gold,69149,Auction,2/28/2019,http://www.ebay.com/itm/rolex-ladies-datejust-champagne-diam-dial-1-00ct-diam-bez-18k-y-g-box-papers-/273735452803
337,3/6/2019,9621,9600,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2/24/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-new-wow-/273727976945
343,3/6/2019,6334,6295,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,2/14/2019,http://www.ebay.com/itm/rolex-114060-submariner-non-date-ceramic-mens-40mm-watch-box-papers-2014-/183685768631
347,3/6/2019,4005,4000,new with tags,76080,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,2/7/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-mens-watch-never-worn-pre-owned-box-w-coa-engraved-/264185208046
353,3/6/2019,9175,9175,new with tags,M279173-0010,Mechanical (Automatic),Stainless Steel,"Yellow Rolesor, Stainless Steel, Yellow Gold",Rolex Lady-Datejust,StoreInventory,3/5/2019,http://www.ebay.com/itm/new-rolex-lady-datejust-28-roman-numeral-dial-yellow-rolesor-luxury-watch-279173-/362573829134
355,3/6/2019,10545,10545,new with tags,126334SSJ,Swiss Automatic,Stainless Steel,Stainless Steel,Datejust Ii,FixedPrice,11/24/2018,http://www.ebay.com/itm/rolex-new-datejust-ii-126334-41mm-released-baselworld-2018-grey-box-paper-rl400-/183552551952
357,3/6/2019,6060,5995,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,3/5/2019,http://www.ebay.com/itm/very-rare-vintage-1984-rolex-16800-submariner-watch-awesome-price-/173822397678
359,3/6/2019,7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,12/7/2018,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-black-dial-16610t-/264078132220
364,3/6/2019,5300,5300,new with tags,R7916334UB7824,Mechanical (Automatic),"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Lady-Datejust,StoreInventory,3/5/2019,http://www.ebay.com/itm/rolex-ladies-datejust-serti-diamond-dial-18k-gold-steel-new-box-papers-79163-/113675028228
367,3/6/2019,5495,5495,pre-owned,1500,Mechanical (Automatic),"Stainless Steel, Brass",Stainless Steel,Rolex Datejust,StoreInventory,1/4/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-date-stainless-steel-black-dial-115234-/273638823084
369,3/6/2019,8000,8000,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory,3/4/2019,http://www.ebay.com/itm/nice-rolex-submariner-16613-a-serial-swiss-dial-boxes-papers-/153402403074
370,3/6/2019,3595,3595,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/14/2016,http://www.ebay.com/itm/rolex-datejust-women-steel-jubilee-6916-black-string-diamond-dial-diamond-bezel-/332031953671
371,3/6/2019,8990,8990,new with tags,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner 114060,FixedPrice,3/1/2019,http://www.ebay.com/itm/brand-new-feb-2019-rolex-submariner-no-date-114060-stainless-40mm-black-watch-/153398868659
372,3/6/2019,4695,4695,pre-owned,Rolex Authentic Mens Datejust 16013,Original Rolex Caliber 3035,"Solid Gold, Stainless Steel","Original Rolex Jubilee, Solid Gold, Stainless Steel",Rolex Datejust Mens,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-mens-two-tone-diamond-dial-diamond-bezel-36mm-date-just-automatic-watch-/223372238360
376,3/6/2019,4995,4995,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,2/22/2019,http://www.ebay.com/itm/rolex-18k-gold-diamond-dial-bezel-dial-datejust-yg-president-ladies-watch-/362564431033
384,3/6/2019,5076,5000,pre-owned,114300,Mechanical (Automatic),Oyster Steel,Oyster Steel,Rolex Oyster Perpetual,FixedPrice,3/6/2019,http://www.ebay.com/itm/pre-owned-slightly-used-18-men-s-rolex-oyster-perpetual-black-dial-39mm-/143160029279
386,3/6/2019,11693,11693,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,3/6/2019,http://www.ebay.com/itm/tiffany-rolex-red-submariner-1680-yellow-patina-stainless-steel-vintage-watch-/273746450833
391,3/5/2019,6500,6500,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Milgaus,FixedPrice,4/27/2018,http://www.ebay.com/itm/rolex-milgauss-black-dial-green-crystal-stainless-mens-watch-reference-116400v-/323229050243
392,3/5/2019,9027,9000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,10/7/2018,http://www.ebay.com/itm/rolex-oyster-perpetual-submariner-date-two-tone-black-dial-40mm-/202461178990
393,3/5/2019,3600,3600,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/15/2019,http://www.ebay.com/itm/rolex-two-tone-datejust-31mm-stainless-steel-18k-yellow-gold-68273-/264198603326
399,3/5/2019,4555,4550,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction,3/1/2019,http://www.ebay.com/itm/rolex-yacht-master-midsize-stainless-steel-platinum-watch-168622-w-box-papers-/372614789220
1,3/6/2019,5076,5000,pre-owned,114300,Mechanical (Automatic),Oyster Steel,Oyster Steel,Rolex Oyster Perpetual,FixedPrice,3/6/2019,http://www.ebay.com/itm/pre-owned-slightly-used-18-men-s-rolex-oyster-perpetual-black-dial-39mm-/143160029279
3,3/6/2019,11693,11693,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,3/6/2019,http://www.ebay.com/itm/tiffany-rolex-red-submariner-1680-yellow-patina-stainless-steel-vintage-watch-/273746450833
4,3/6/2019,7000,7000,pre-owned,16750,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,StoreInventory,2/27/2019,http://www.ebay.com/itm/rolex-16750-vintage-1984-rolex-gmt-master-pepsi-blue-red-matte-40mm-/163569411257
7,3/5/2019,3391,3391,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/1/2019,http://www.ebay.com/itm/vintage-rolex-datejust-ref-1603-stainless-steel-silver-wideboy-dial-36mm-68-/273738442560
8,3/5/2019,6500,6500,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Milgaus,FixedPrice,4/27/2018,http://www.ebay.com/itm/rolex-milgauss-black-dial-green-crystal-stainless-mens-watch-reference-116400v-/323229050243
9,3/5/2019,9027,9000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,10/7/2018,http://www.ebay.com/itm/rolex-oyster-perpetual-submariner-date-two-tone-black-dial-40mm-/202461178990
10,3/5/2019,3600,3600,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/15/2019,http://www.ebay.com/itm/rolex-two-tone-datejust-31mm-stainless-steel-18k-yellow-gold-68273-/264198603326
12,3/5/2019,3325,3325,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2/14/2019,http://www.ebay.com/itm/rolex-ladies-datejust-stainless-steel-grey-diamond-dial-fluted-bezel-papers-/113640395681
16,3/5/2019,4555,4550,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction,3/1/2019,http://www.ebay.com/itm/rolex-yacht-master-midsize-stainless-steel-platinum-watch-168622-w-box-papers-/372614789220
17,3/5/2019,7059,7059,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction,2/26/2019,http://www.ebay.com/itm/genuine-rolex-18k-gold-ss-submariner-blue-blue-watch-box-papers-wempe-/333093594949
19,3/5/2019,6091,6091,pre-owned,14060,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/15/2019,http://www.ebay.com/itm/mint-1997-rolex-submariner-no-date-14060-stainless-steel-black-dive-40mm-watch-/153379890159
21,3/5/2019,4692,4692,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,1/5/2019,http://www.ebay.com/itm/mint-2016-warranty-paper-rolex-oyster-perpetual-39mm-grape-steel-114300-watch-d8-/303020059649
23,3/5/2019,7350,7350,pre-owned,16713,Mechanical (Automatic),Stainless Steel,Solid Gold,Rolex GMT-Master II,StoreInventory,1/21/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-16713-18k-yellow-gold-steel-automatic-mens-watch-/382744122414
24,3/5/2019,3700,3700,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18k Yellow Gold, Stainless Steel",Rolex Datejust,Auction,2/26/2019,http://www.ebay.com/itm/rolex-mens-datejust-two-tone-fluted-custom-blue-diamond-dial-beautiful-/223424120610
26,3/5/2019,8100,8100,pre-owned,1601,Mechanical (Automatic),Solid Gold,Gold Plated,Rolex Datejust,FixedPrice,1/18/2019,http://www.ebay.com/itm/rolex-mens-18kt-gold-datejust-president-champagne-gold-bracelet-18-k-gold-/113572196386
28,3/5/2019,7000,7000,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,StoreInventory,1/4/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-yellow-gold-black-dial-16713-/273638887722
32,3/5/2019,4723,4400,pre-owned,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air King,StoreInventory,2/20/2019,http://www.ebay.com/itm/rolex-air-king-116900-box-and-papers-december-2016-full-set-under-rolex-warranty-/273716735533
38,3/5/2019,5688,5688,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,2/12/2019,http://www.ebay.com/itm/rolex-ladies-datejust-date-president-18k-gold-diamond-dial-bezel-watch-/264193567214
42,3/5/2019,7750,7750,new with tags,116400GV,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Milgauss,FixedPrice,3/4/2019,http://www.ebay.com/itm/rolex-milgauss-steel-40mm-blue-automatic-watch-116400-full-sticker-2019-complete-/401721337715
43,3/5/2019,7100,7100,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Gold, Stainless Steel",Submariner,StoreInventory,10/29/2015,http://www.ebay.com/itm/men-s-rolex-blue-submariner-two-tone-w-blue-dial-16613-/272030982431
44,3/5/2019,5724,5709,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2/26/2019,http://www.ebay.com/itm/rolex-submariner-14060m-no-date-black-dial-stainless-steel-/163566163062
46,3/5/2019,3895,3895,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,8/19/2014,http://www.ebay.com/itm/rolex-mens-watch-ss-datejust-16014-black-stick-dial-18k-gold-fluted-bezel-mint-/221527300036
48,3/5/2019,3995,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,2/26/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-date-34mm-stainless-steel-diamond-watch-/173812417269
49,3/5/2019,8710,8600,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice,2/21/2019,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-steel-ceramic-bezel-watch-box-papers-/192834403719
56,3/4/2019,4685,4650,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,2/25/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-mens-39mm-dark-rhodium-oyster-steel-brand-new-/183703829738
59,3/4/2019,3325,3300,pre-owned,Does Not Apply,Mechanical (Automatic),"Solid Gold, Stainless Steel","Gold, Stainless Steel",Rolex Yacht-Master,FixedPrice,3/2/2019,http://www.ebay.com/itm/rolex-ladies-29mm-18k-ss-yachtmaster-w-box-recent-service-price-reduction-/264221582460
60,3/4/2019,6500,6500,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,3/4/2019,http://www.ebay.com/itm/rolex-ladies-1-10-ct-diamond-bezel-president-datejust-18k-yellow-gold-watch-/183713870484
63,3/4/2019,9750,9700,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,3/4/2019,http://www.ebay.com/itm/rolex-day-date-president-1803-18k-white-gold-custom-bark-finish-/153402649224
64,3/4/2019,3515,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,1/9/2019,http://www.ebay.com/itm/mens-rolex-2000-datejust-36mm-2-two-toned-18k-champagne-dial-16233-/153334415621
66,3/4/2019,8400,8400,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Submariner,StoreInventory,2/19/2019,http://www.ebay.com/itm/rolex-submariner-date-18k-yellow-gold-steel-black-mens-watch-box-papers-x-16613-/113654356299
68,3/4/2019,6000,6000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,9/28/2018,http://www.ebay.com/itm/rolex-datejust-36mm-16233-18k-yg-steel-factory-blue-vignette-diamond-dial-mint-/253902562523
70,3/4/2019,3994,3994,pre-owned,16233,Mechanical (Automatic),"Stainless Steel, Gold","Yellow Gold, Stainless Steel",Rolex Datejust,FixedPrice,2/9/2019,http://www.ebay.com/itm/1996-rolex-datejust-16233-36mm-two-tone-gold-white-roman-jubilee-no-holes-watch-/153372100258
71,3/4/2019,5500,5500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,3/4/2019,http://www.ebay.com/itm/rolex-submariner-serti-18k-and-stainless-steel-watch-/223434400926
78,3/4/2019,6600,6600,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,3/4/2019,http://www.ebay.com/itm/rolex-submariner-date-blue-and-gold-watch-168033-/273743138109
80,3/4/2019,7300,7300,new with tags,126300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,StoreInventory,8/14/2018,http://www.ebay.com/itm/rolex-datejust-41mm-126300-domed-bezel-steel-jubilee-bracelet-rhodium-index-/292682037620
81,3/4/2019,3150,3150,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction,3/1/2019,http://www.ebay.com/itm/family-owned-vintage-mens-rolex-oyster-perpetual-datejust-ss-gold-vgc-/283400136147
88,3/4/2019,5600,5600,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,Auction,2/25/2019,http://www.ebay.com/itm/rolex-mens-submariner-stainless-steel-40mm-oyster-bracelet-diamond-red-dial-/223420394992
91,3/3/2019,5885,5885,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/11/2019,http://www.ebay.com/itm/rolex-submariner-16610-stainless-steel-watch-w-black-dial-a-m-kermit-insert-/223382764691
92,3/3/2019,7105,7100,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,Auction,2/26/2019,http://www.ebay.com/itm/rolex-gmt-master-2-stainless-steel-black-dial-ceramic-bezel-116710-/264215768014
97,3/3/2019,8265,8200,manufacturer refurbished,16613,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold & SS, Stainless Steel",Rolex Submariner,Auction,2/26/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yellow-gold-steel-serviced-box-certificate-/143149827170
98,3/3/2019,5800,5800,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory,2/9/2019,http://www.ebay.com/itm/rolex-explorer-214270-black-dial-/143124392086
101,3/3/2019,8265,8200,manufacturer refurbished,16613,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold & SS, Stainless Steel",Rolex Submariner,Auction,2/26/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yellow-gold-steel-serviced-box-certificate-/143149827170
102,3/3/2019,5800,5800,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory,2/9/2019,http://www.ebay.com/itm/rolex-explorer-214270-black-dial-/143124392086
105,3/3/2019,7012,7000,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,3/2/2019,http://www.ebay.com/itm/rolex-day-date-diamond-bezel-president-yellow-gold-36mm-1803-non-quickset-18kt-/401719904060
110,3/3/2019,3249,3200,pre-owned,6517,Mechanical (Automatic),"Solid Gold, Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,StoreInventory,3/3/2019,http://www.ebay.com/itm/vintage-rolex-oyster-perpetual-1003-18k-solid-gold-gents-watch-year-1969-/362571564016
114,3/3/2019,5000,5000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/3/2019,http://www.ebay.com/itm/rolex-mens-day-date-president-18k-gold-w-champagne-dial-quickset-18038-/352608060769
116,3/3/2019,4870,4870,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,2/24/2019,http://www.ebay.com/itm/estate-rolex-day-date-president-18k-gold-36mm-gold-dial-1803-minty-condition-/352602154902
118,3/3/2019,4450,4450,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,2/24/2019,http://www.ebay.com/itm/estate-rolex-ladies-president-18k-pure-gold-datejust-diamond-bezel-gold-dial-/303073608851
126,3/3/2019,6000,6000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,3/3/2019,http://www.ebay.com/itm/rolex-mens-day-date-president-18k-gold-w-champagne-dial-quickset-18038-/352607996682
127,3/3/2019,6600,6600,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,SUBMARINER,Auction,2/24/2019,http://www.ebay.com/itm/rolex-submariner-date-16610-black-dial-excellent-condition-serviced-box-tags-/283393262455
128,3/3/2019,7887,7877,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex Datejust,Auction,2/21/2019,http://www.ebay.com/itm/rare-1952-mens-rolex-6202-turnograph-18k-stainless-steel-watch-all-original-/392243393259
132,3/3/2019,4700,4650,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,2/24/2019,http://www.ebay.com/itm/rolex-president-day-date-18k-yellow-gold-1803-/283392857264
133,3/3/2019,8750,8750,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,3/2/2019,http://www.ebay.com/itm/rolex-submariner-date-ceramic-ref-116610-ln-unworn-ss-40mm-100-complete-/113670847983
